age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23,Private,354771,Bachelors,13,Divorced,Other-service,Husband,White,Male,0,0,17,United-States,<=50K
62,State-gov,526011,HS-grad,9,Never-married,Exec-managerial,Husband,White,Female,0,0,49,United-States,<=50K
55,Private,1284759,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,35,United-States,<=50K
43,Private,164245,HS-grad,9,Married-civ-spouse,Tech-support,Unmarried,White,Male,0,0,40,United-States,<=50K
42,Self-emp-inc,172742,Bachelors,13,Divorced,Priv-house-serv,Own-child,White,Female,0,0,33,United-States,<=50K
66,Private,458776,11th,7,Never-married,Other-service,Own-child,Black,Female,0,0,57,United-States,<=50K
22,Self-emp-not-inc,903782,11th,7,Married-spouse-absent,Transport-moving,Own-child,White,Male,0,0,42,United-States,<=50K
57,Private,1204689,Some-college,10,Separated,Adm-clerical,Other-relative,White,Male,0,0,36,United-States,<=50K
29,Private,843825,7th-8th,4,Never-married,Priv-house-serv,Not-in-family,Other,Male,0,0,35,United-States,<=50K
23,Self-emp-not-inc,741704,Some-college,10,Divorced,Transport-moving,Husband,White,Male,0,0,38,United-States,<=50K
48,Private,1299644,Prof-school,15,Never-married,Handlers-cleaners,Unmarried,White,Female,0,0,68,United-States,<=50K
73,Private,265889,HS-grad,9,Divorced,Farming-fishing,Wife,White,Male,0,0,24,United-States,<=50K
59,Private,1345132,1st-4th,2,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,52,United-States,<=50K
61,Self-emp-not-inc,474391,Bachelors,13,Never-married,Machine-op-inspct,Wife,White,Male,0,0,46,United-States,<=50K
58,Local-gov,420198,Bachelors,13,Never-married,Priv-house-serv,Husband,White,Female,0,0,58,United-States,<=50K
62,Private,1421787,Some-college,10,Divorced,Craft-repair,Wife,Black,Male,0,0,47,United-States,<=50K
47,Private,967014,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,<=50K
25,State-gov,650767,Some-college,10,Never-married,Tech-support,Unmarried,White,Male,0,0,52,United-States,<=50K
65,Private,500270,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,0,0,42,United-States,<=50K
43,Private,665019,Some-college,10,Married-civ-spouse,Transport-moving,Own-child,White,Male,0,0,49,United-States,<=50K
46,Private,1182406,Bachelors,13,Married-civ-spouse,Tech-support,Own-child,White,Male,0,0,57,United-States,<=50K
39,Private,238539,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,41,United-States,<=50K
28,Local-gov,270031,12th,8,Divorced,Prof-specialty,Husband,White,Male,0,0,34,United-States,<=50K
70,Self-emp-not-inc,462451,Masters,14,Married-civ-spouse,Transport-moving,Wife,White,Male,34458,0,32,United-States,>50K
62,Self-emp-not-inc,725044,9th,5,Married-civ-spouse,Other-service,Not-in-family,White,Female,0,0,45,United-States,<=50K
54,Private,1216484,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Female,0,0,29,United-States,<=50K
40,Private,323808,Assoc-voc,11,Never-married,Craft-repair,Other-relative,White,Male,0,0,35,United-States,<=50K
64,Private,1174377,Assoc-voc,11,Never-married,Prof-specialty,Husband,White,Female,0,0,28,United-States,<=50K
49,Private,1353928,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,78764,0,46,United-States,>50K
43,Private,656002,HS-grad,9,Married-civ-spouse,Priv-house-serv,Husband,White,Male,24595,0,30,United-States,>50K
43,Private,1433149,12th,8,Married-civ-spouse,Handlers-cleaners,Own-child,Black,Male,0,0,24,United-States,<=50K
30,Private,1333205,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,26,United-States,<=50K
23,Private,1190636,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,33,United-States,<=50K
49,Self-emp-not-inc,574351,HS-grad,9,Married-civ-spouse,Tech-support,Own-child,White,Male,0,0,34,United-States,<=50K
68,Private,456648,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,43,United-States,<=50K
21,Private,1289863,Bachelors,13,Married-spouse-absent,Adm-clerical,Other-relative,White,Female,0,0,38,United-States,<=50K
66,Self-emp-inc,664920,Assoc-voc,11,Divorced,Sales,Husband,White,Male,0,0,44,United-States,<=50K
65,Self-emp-not-inc,58942,Masters,14,Never-married,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
33,Self-emp-inc,1072383,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,48,United-States,>50K
54,Private,525531,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,17,United-States,<=50K
27,Federal-gov,1395338,Bachelors,13,Widowed,Sales,Wife,Black,Male,0,0,26,United-States,<=50K
61,Private,1276174,Bachelors,13,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,0,0,46,United-States,<=50K
57,Private,166513,Doctorate,16,Never-married,Adm-clerical,Unmarried,White,Female,0,0,42,United-States,<=50K
38,Private,1344524,HS-grad,9,Married-spouse-absent,Farming-fishing,Wife,White,Male,0,0,51,United-States,<=50K
21,Private,1416048,Some-college,10,Divorced,Other-service,Own-child,White,Female,0,0,21,United-States,<=50K
73,Private,1130366,Some-college,10,Married-civ-spouse,Tech-support,Not-in-family,White,Male,0,0,34,United-States,<=50K
43,Private,419296,Doctorate,16,Divorced,Farming-fishing,Husband,White,Female,0,0,36,United-States,<=50K
68,Self-emp-not-inc,1002423,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,41,United-States,<=50K
56,Private,1295312,9th,5,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,<=50K
62,Private,1217695,Some-college,10,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,0,0,45,United-States,<=50K
61,Private,649438,Bachelors,13,Separated,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,38,United-States,<=50K
29,Private,1058137,Assoc-voc,11,Never-married,Prof-specialty,Own-child,White,Female,0,0,56,United-States,<=50K
38,Private,582610,Bachelors,13,Married-civ-spouse,Farming-fishing,Wife,White,Male,0,0,60,United-States,>50K
44,Private,388052,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,26,United-States,<=50K
46,Private,1006821,Some-college,10,Never-married,Priv-house-serv,Unmarried,White,Male,0,0,40,United-States,>50K
20,Self-emp-not-inc,701436,7th-8th,4,Widowed,Adm-clerical,Husband,White,Male,0,0,49,United-States,<=50K
49,State-gov,344572,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,47,United-States,<=50K
26,Private,988882,Assoc-voc,11,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,35,United-States,<=50K
60,Private,487865,Bachelors,13,Separated,Farming-fishing,Husband,White,Male,0,0,43,United-States,<=50K
56,Local-gov,881125,Assoc-voc,11,Separated,Handlers-cleaners,Husband,White,Male,67851,0,20,United-States,>50K
70,State-gov,546477,Doctorate,16,Widowed,Craft-repair,Own-child,White,Female,0,0,39,United-States,<=50K
60,Private,1320561,Some-college,10,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,22,United-States,<=50K
38,Local-gov,1269575,Some-college,10,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,34569,0,46,United-States,>50K
73,Local-gov,712681,Masters,14,Married-civ-spouse,Tech-support,Not-in-family,White,Male,0,0,26,Mexico,<=50K
41,Self-emp-inc,1062427,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,41,United-States,<=50K
36,Private,275370,Assoc-acdm,12,Separated,Exec-managerial,Husband,White,Male,0,0,43,United-States,<=50K
69,Private,1486520,7th-8th,4,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,1296,40,United-States,<=50K
39,Private,329461,Bachelors,13,Never-married,Farming-fishing,Unmarried,White,Male,0,0,32,United-States,<=50K
22,Private,1293741,HS-grad,9,Widowed,Sales,Wife,White,Female,0,0,37,United-States,<=50K
44,Private,1262853,HS-grad,9,Married-spouse-absent,Other-service,Husband,White,Male,94016,0,54,India,>50K
63,Private,275654,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,0,34,United-States,<=50K
28,Private,25175,1st-4th,2,Widowed,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
44,Private,1101717,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,33,United-States,<=50K
25,Federal-gov,1296959,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,52,United-States,<=50K
57,Private,1071151,Masters,14,Married-civ-spouse,Other-service,Husband,White,Female,0,0,40,United-States,<=50K
45,Private,94450,Some-college,10,Married-spouse-absent,Transport-moving,Unmarried,White,Female,0,0,30,United-States,<=50K
36,Self-emp-inc,966343,Masters,14,Widowed,Tech-support,Husband,White,Male,14117,0,40,Jamaica,<=50K
30,Federal-gov,591201,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Male,0,0,37,United-States,<=50K
50,State-gov,1365697,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,56,United-States,<=50K
56,Local-gov,1195037,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Female,57889,0,39,United-States,<=50K
71,Local-gov,1193181,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,23,United-States,<=50K
42,Private,614787,Masters,14,Separated,Protective-serv,Other-relative,Black,Male,0,0,45,United-States,<=50K
27,Private,488306,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,41291,0,61,United-States,<=50K
65,Private,1227810,Doctorate,16,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,54,United-States,>50K
53,Private,182496,Assoc-voc,11,Divorced,Transport-moving,Other-relative,White,Male,0,0,26,United-States,<=50K
57,State-gov,160538,12th,8,Married-civ-spouse,Other-service,Not-in-family,White,Male,73944,0,36,Jamaica,>50K
23,Private,104153,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,39,United-States,<=50K
35,Private,768403,10th,6,Married-spouse-absent,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,39,United-States,<=50K
61,Private,123823,Assoc-acdm,12,Never-married,Adm-clerical,Wife,White,Female,0,0,44,United-States,<=50K
65,Private,873248,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,<=50K
42,Private,259642,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,29,United-States,<=50K
63,Private,1329091,HS-grad,9,Widowed,Transport-moving,Own-child,White,Female,0,0,51,United-States,<=50K
65,State-gov,651366,9th,5,Never-married,Sales,Husband,White,Male,0,0,26,Japan,<=50K
40,Private,150668,Some-college,10,Never-married,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,30,United-States,<=50K
69,Federal-gov,1037599,Some-college,10,Never-married,Tech-support,Husband,White,Male,0,0,26,United-States,<=50K
34,Private,512775,Doctorate,16,Separated,Prof-specialty,Husband,White,Male,0,0,47,United-States,<=50K
31,Private,399294,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,41,United-States,<=50K
56,Private,986877,Some-college,10,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,50,United-States,<=50K
54,Self-emp-inc,1424826,Some-college,10,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,0,0,30,United-States,<=50K
25,Private,1460734,11th,7,Never-married,Handlers-cleaners,Husband,Black,Male,0,0,24,United-States,<=50K
65,Local-gov,656011,Assoc-acdm,12,Married-spouse-absent,Adm-clerical,Own-child,White,Female,0,0,34,United-States,<=50K
29,Private,1266132,Doctorate,16,Married-spouse-absent,Protective-serv,Husband,White,Male,0,0,37,United-States,<=50K
63,Private,321725,Doctorate,16,Divorced,Other-service,Husband,White,Male,0,0,42,United-States,<=50K
18,Self-emp-inc,1263502,Assoc-acdm,12,Divorced,Other-service,Husband,White,Female,0,0,19,United-States,<=50K
63,Private,1404703,Assoc-voc,11,Separated,Other-service,Husband,White,Male,0,0,45,United-States,<=50K
62,Private,776740,Some-college,10,Married-spouse-absent,Protective-serv,Husband,White,Male,0,2104,29,United-States,<=50K
62,State-gov,785371,Masters,14,Never-married,Craft-repair,Not-in-family,Black,Female,0,0,32,United-States,<=50K
55,Private,846383,Some-college,10,Married-civ-spouse,Tech-support,Own-child,White,Male,0,0,54,India,<=50K
44,Private,120193,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,18442,0,13,United-States,<=50K
58,Private,1281365,Doctorate,16,Separated,Farming-fishing,Wife,White,Male,0,0,43,United-States,>50K
33,Private,1102556,Masters,14,Never-married,Machine-op-inspct,Husband,White,Female,0,0,43,United-States,<=50K
62,Self-emp-inc,1297691,Some-college,10,Never-married,Priv-house-serv,Husband,White,Male,0,0,30,United-States,<=50K
49,Self-emp-inc,182757,Assoc-voc,11,Never-married,Other-service,Not-in-family,Black,Male,0,0,34,United-States,<=50K
44,Private,1198139,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,54,United-States,<=50K
