age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
53,State-gov,1293881,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,44,United-States,<=50K
44,State-gov,1231460,11th,7,Never-married,Priv-house-serv,Own-child,White,Male,0,0,47,United-States,<=50K
37,Self-emp-not-inc,481858,Masters,14,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,21,United-States,<=50K
54,Private,926427,Masters,14,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,1082,34,United-States,<=50K
29,Private,120987,Some-college,10,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,44,United-States,<=50K
49,State-gov,1282099,Assoc-voc,11,Married-civ-spouse,Sales,Own-child,White,Female,0,1269,43,United-States,<=50K
60,Private,18945,HS-grad,9,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,45,Iran,<=50K
31,Private,58763,7th-8th,4,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,0,0,43,United-States,<=50K
22,Private,923080,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
19,Federal-gov,1130976,Some-college,10,Separated,Adm-clerical,Husband,White,Male,0,0,25,United-States,<=50K
49,Private,1219903,Some-college,10,Never-married,Farming-fishing,Wife,White,Female,0,0,44,United-States,<=50K
41,Self-emp-not-inc,1469587,Prof-school,15,Never-married,Tech-support,Husband,Amer-Indian-Eskimo,Male,0,0,26,United-States,<=50K
55,Private,41044,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,35,United-States,<=50K
64,Private,1051236,HS-grad,9,Never-married,Machine-op-inspct,Husband,White,Male,0,0,56,United-States,<=50K
73,Federal-gov,481177,Doctorate,16,Married-civ-spouse,Protective-serv,Husband,Black,Female,0,0,21,United-States,<=50K
36,Federal-gov,1368898,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Male,0,0,38,United-States,>50K
24,Private,444565,HS-grad,9,Divorced,Adm-clerical,Other-relative,White,Male,0,0,50,United-States,<=50K
60,Private,625341,Bachelors,13,Married-civ-spouse,Sales,Not-in-family,White,Male,39533,0,47,United-States,>50K
19,Private,454351,Prof-school,15,Married-civ-spouse,Other-service,Unmarried,White,Male,0,0,43,United-States,<=50K
54,Private,1049336,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,31,United-States,<=50K
33,Private,1346956,10th,6,Married-civ-spouse,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,0,0,55,United-States,<=50K
38,State-gov,850686,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,24287,0,25,United-States,<=50K
25,Private,528726,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,48,United-States,<=50K
18,Private,507772,Bachelors,13,Married-civ-spouse,Tech-support,Not-in-family,Black,Male,0,0,41,United-States,<=50K
29,Private,1023105,Masters,14,Married-civ-spouse,Priv-house-serv,Unmarried,White,Female,0,0,30,United-States,<=50K
42,Private,933453,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,<=50K
34,Private,368423,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Female,0,0,61,United-States,<=50K
40,Private,545654,10th,6,Never-married,Farming-fishing,Husband,White,Male,0,0,26,United-States,<=50K
24,Self-emp-not-inc,1411107,Some-college,10,Never-married,Craft-repair,Husband,White,Male,0,0,18,United-States,<=50K
25,Self-emp-inc,1415558,Prof-school,15,Never-married,Other-service,Not-in-family,Other,Female,0,0,32,United-States,<=50K
60,Private,587798,9th,5,Never-married,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,0,44,United-States,<=50K
64,Local-gov,1191291,HS-grad,9,Never-married,Craft-repair,Own-child,White,Female,77684,0,57,United-States,>50K
60,Private,118798,Bachelors,13,Married-civ-spouse,Priv-house-serv,Husband,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
72,Private,1299535,Doctorate,16,Never-married,Protective-serv,Wife,Asian-Pac-Islander,Female,91599,0,20,United-States,>50K
59,Federal-gov,484155,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,41,United-States,<=50K
24,Private,951939,10th,6,Married-civ-spouse,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Female,0,0,50,United-States,<=50K
60,State-gov,923673,12th,8,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,43,United-States,<=50K
31,Private,1254576,12th,8,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,45,United-States,<=50K
62,State-gov,1427095,Prof-school,15,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,0,0,17,United-States,<=50K
54,Private,554509,Bachelors,13,Widowed,Other-service,Own-child,White,Male,0,0,23,Mexico,<=50K
66,Private,811605,10th,6,Divorced,Craft-repair,Husband,White,Male,0,0,38,United-States,>50K
72,Private,989954,Masters,14,Divorced,Tech-support,Own-child,White,Male,0,0,53,United-States,>50K
57,Federal-gov,878733,9th,5,Divorced,Farming-fishing,Wife,White,Male,98799,0,30,United-States,>50K
71,Private,505644,10th,6,Never-married,Farming-fishing,Husband,Black,Male,0,0,42,United-States,<=50K
48,Private,577693,Some-college,10,Married-spouse-absent,Farming-fishing,Husband,White,Female,0,0,41,United-States,<=50K
71,State-gov,890980,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Female,0,0,27,Cuba,<=50K
23,Private,1401219,Bachelors,13,Married-civ-spouse,Craft-repair,Unmarried,Black,Female,0,0,31,United-States,<=50K
43,Private,117869,Assoc-acdm,12,Divorced,Other-service,Unmarried,Black,Female,0,0,39,Cuba,<=50K
61,Private,347434,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,35,United-States,<=50K
74,Self-emp-not-inc,1183015,Bachelors,13,Never-married,Priv-house-serv,Husband,White,Female,0,0,49,United-States,<=50K
67,Local-gov,891781,HS-grad,9,Married-spouse-absent,Tech-support,Wife,Black,Female,0,0,34,United-States,<=50K
38,Self-emp-not-inc,635633,Some-college,10,Separated,Farming-fishing,Husband,White,Male,86362,0,50,United-States,>50K
53,Private,537473,HS-grad,9,Divorced,Priv-house-serv,Husband,White,Male,0,0,35,United-States,<=50K
22,Private,1466699,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Other,Female,0,0,40,United-States,<=50K
24,Private,1318601,Bachelors,13,Divorced,Sales,Wife,White,Male,0,0,49,United-States,<=50K
58,Local-gov,1280866,HS-grad,9,Married-civ-spouse,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,0,0,38,United-States,<=50K
35,Self-emp-not-inc,435181,Some-college,10,Married-spouse-absent,Transport-moving,Husband,White,Female,0,0,34,United-States,<=50K
49,Self-emp-inc,920369,11th,7,Married-civ-spouse,Priv-house-serv,Own-child,Other,Female,0,0,39,United-States,<=50K
29,Private,1429174,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,50,United-States,<=50K
63,Private,405256,Doctorate,16,Married-civ-spouse,Exec-managerial,Other-relative,Black,Female,0,0,43,United-States,<=50K
22,Self-emp-not-inc,318594,Some-college,10,Never-married,Adm-clerical,Wife,Other,Female,25555,0,14,United-States,<=50K
53,Private,943333,Some-college,10,Widowed,Other-service,Own-child,White,Female,0,0,31,United-States,<=50K
56,Private,302488,Masters,14,Never-married,Craft-repair,Unmarried,White,Female,0,0,31,United-States,<=50K
64,Self-emp-not-inc,1130792,Some-college,10,Never-married,Tech-support,Other-relative,White,Female,45887,0,47,United-States,>50K
32,Private,1287947,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Female,0,0,17,United-States,<=50K
37,Self-emp-not-inc,710280,7th-8th,4,Married-civ-spouse,Tech-support,Not-in-family,Black,Female,0,0,43,United-States,<=50K
49,Self-emp-not-inc,1477271,Bachelors,13,Divorced,Craft-repair,Own-child,Asian-Pac-Islander,Male,0,0,47,United-States,<=50K
