age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
67,Local-gov,711896,11th,7,Widowed,Tech-support,Own-child,Asian-Pac-Islander,Female,0,0,61,United-States,<=50K
63,Private,907967,Some-college,10,Married-spouse-absent,Exec-managerial,Other-relative,White,Female,58465,0,57,United-States,>50K
57,Private,906716,7th-8th,4,Never-married,Other-service,Husband,White,Male,0,0,47,United-States,<=50K
65,Private,1071155,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Female,0,0,26,Germany,<=50K
25,State-gov,510482,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Male,0,0,38,United-States,<=50K
67,Self-emp-not-inc,463413,Bachelors,13,Married-spouse-absent,Adm-clerical,Husband,White,Female,0,0,22,United-States,<=50K
52,Private,125145,Masters,14,Never-married,Other-service,Unmarried,Black,Female,22797,0,32,United-States,<=50K
22,Private,1189471,Some-college,10,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,21,United-States,<=50K
49,Private,37754,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,35,United-States,<=50K
39,Private,1392834,11th,7,Widowed,Adm-clerical,Own-child,White,Female,0,0,35,United-States,<=50K
51,State-gov,742939,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,0,32,United-States,<=50K
19,Private,379739,HS-grad,9,Divorced,Farming-fishing,Other-relative,White,Female,0,0,28,United-States,>50K
18,Private,1488812,Doctorate,16,Married-civ-spouse,Farming-fishing,Own-child,White,Female,0,0,38,United-States,<=50K
59,State-gov,305191,Doctorate,16,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,46,United-States,<=50K
64,Self-emp-not-inc,723599,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,55,United-States,<=50K
42,Private,243151,10th,6,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Female,0,0,31,United-States,<=50K
38,Private,476501,HS-grad,9,Married-civ-spouse,Tech-support,Other-relative,White,Male,0,0,47,United-States,<=50K
60,Local-gov,869300,HS-grad,9,Married-civ-spouse,Priv-house-serv,Wife,Black,Female,0,0,46,United-States,<=50K
35,State-gov,85318,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,United-States,<=50K
63,Private,349380,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,0,0,50,United-States,<=50K
50,Private,298087,Assoc-voc,11,Married-civ-spouse,Priv-house-serv,Own-child,Black,Male,0,0,41,United-States,<=50K
21,Self-emp-inc,541554,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0,0,39,United-States,<=50K
57,Private,60334,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Female,0,0,47,United-States,<=50K
71,Private,1269086,HS-grad,9,Divorced,Other-service,Unmarried,Black,Male,0,0,62,United-States,<=50K
61,Private,304825,Bachelors,13,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,21,United-States,<=50K
46,Federal-gov,164663,Prof-school,15,Married-civ-spouse,Protective-serv,Unmarried,White,Male,0,0,42,United-States,<=50K
53,Private,735510,Assoc-voc,11,Divorced,Transport-moving,Not-in-family,White,Male,0,0,34,United-States,<=50K
73,Private,504807,Some-college,10,Married-spouse-absent,Machine-op-inspct,Husband,Black,Male,0,0,26,United-States,<=50K
48,State-gov,474031,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,46,United-States,<=50K
