age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
65,Private,31737,HS-grad,9,Married-civ-spouse,Protective-serv,Not-in-family,White,Female,0,0,10,United-States,<=50K
25,Private,201667,Bachelors,13,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,44,United-States,<=50K
56,Self-emp-not-inc,1356314,Doctorate,16,Divorced,Protective-serv,Own-child,White,Male,0,0,39,United-States,<=50K
24,Private,528276,Doctorate,16,Married-spouse-absent,Machine-op-inspct,Husband,Black,Male,0,0,47,United-States,>50K
34,Private,220007,HS-grad,9,Divorced,Priv-house-serv,Husband,Asian-Pac-Islander,Female,0,0,45,United-States,<=50K
50,Private,930631,HS-grad,9,Married-civ-spouse,Sales,Own-child,Amer-Indian-Eskimo,Male,0,0,43,United-States,<=50K
70,Self-emp-not-inc,1263119,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,29,United-States,<=50K
60,Private,745013,Some-college,10,Married-civ-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,2925,45,United-States,<=50K
57,Private,1249694,Assoc-acdm,12,Never-married,Craft-repair,Other-relative,Black,Female,0,0,25,South,<=50K
24,Private,201457,11th,7,Separated,Other-service,Own-child,Other,Male,0,0,33,United-States,<=50K
29,State-gov,1221417,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,39,United-States,<=50K
22,Private,1183647,HS-grad,9,Divorced,Priv-house-serv,Wife,White,Male,0,0,54,United-States,<=50K
73,State-gov,739368,Some-college,10,Never-married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,49,United-States,<=50K
22,Private,1045000,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,0,0,45,United-States,<=50K
73,Local-gov,408896,9th,5,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,61,United-States,<=50K
58,Federal-gov,1114644,11th,7,Married-spouse-absent,Protective-serv,Husband,Asian-Pac-Islander,Female,0,0,64,Vietnam,<=50K
41,Private,552270,11th,7,Divorced,Priv-house-serv,Not-in-family,Black,Female,50144,0,43,Vietnam,>50K
70,Private,67926,Doctorate,16,Never-married,Adm-clerical,Husband,White,Male,0,0,52,United-States,>50K
